Id,Full_Name,Medical_License_Number,Npi_Number,Specialty,Affiliation,Practice_Address,Email,Phone,Confidence_Score,Issue,Manual_Review
1,Dr. Molly Christensen,IZ305131,8286859759,Neurology,Sunrise Medical Center,"8974 Reese Roads, North Coreyfurt, MI 63460",nbarry@example.org,944.343.8755x794,100,,Pending
2,Dr. Jeffrey Collins,JE548931,2515862631,Dermatology,Apollo Hospital,"96111 Michael Drive, Penachester, OH 53136",lucas14@example.com,620.234.1957,100,,Pending
3,Dr. Rebecca Jenkins,DX749969,7561565903,Cardiology,Fortis Care,"3883 Walker Stream, Lake Donald, VI 34837",rnorton@example.net,433-551-6484x273,100,,Pending
4,Dr. Kevin Duran,NT143322,6987034909,Psychiatry,City Hospital,"17770 Barbara Manor, New Patriciaview, AL 92495",jillianwilliams@example.com,972-623-9080,100,,Pending
5,Dr. David Gibbs,TS833603,3817264305,General Surgery,Global Health Clinic,"Unit 8606 Box 9656, DPO AA 60149",chadcoleman@example.net,001-590-354-5099,100,,Pending
6,Dr. Holly Bradley,HG744762,7054651817,Orthopedics,LifeCare Clinic,"826 Thomas Isle Apt. 121, Lake Priscillashire, AL 24095",haneyderek@example.net,770.530.1270x30453,100,,Pending
7,Dr. Elizabeth Johnson,DA862231,6425936734,Pediatrics,Global Health Clinic,"27113 Jessica Ports, Heathhaven, NH 49959",teresavelasquez@example.org,001-329-695-0270,100,,Pending
8,Dr. Sheila Hernandez,RL673275,8220964128,Cardiology,Fortis Care,"879 Bryan Ford, Ashleyville, ID 31228",casey00@example.com,848-415-4716x858,100,,Pending
9,Dr. Jacqueline Glover,NR588681,4825247245,Radiology,Apollo Hospital,"86222 Farrell Landing Apt. 700, Taylorchester, MT 52917",sloanchristina@example.com,+1-686-273-2411x09669,100,,Pending
10,Dr. Jeffrey Scott,ZL110060,6986807597,Orthopedics,City Hospital,"1255 Sharon Crest, Port Courtneybury, AK 06589",jacksonbernard@example.org,+1-581-269-4053x8310,100,,Pending
11,Dr. James Brown,BB669856,4670981233,Orthopedics,Sunrise Medical Center,"8513 Mark Mission Suite 523, Jeffersonport, DC 69749",william19@example.org,340-446-5989,100,,Pending
12,Dr. Melanie Figueroa,BY804973,4510383945,Psychiatry,Sunrise Medical Center,"962 Cole Junction Apt. 306, Peterside, AZ 50349",alicia22@example.com,001-947-589-8984x2547,100,,Pending
13,Dr. David Adams,ZS916173,1870778404,Cardiology,City Hospital,"4589 Steve Canyon Apt. 191, Donaldborough, ME 69226",chadgonzales@example.com,418.518.6395x73949,100,,Pending
14,Dr. Rebekah Marks,ZK948421,7975578942,General Surgery,LifeCare Clinic,"428 Mccall Meadow, New David, OR 31666",nsmith@example.net,+1-365-500-1593x12740,100,,Pending
15,Dr. Natasha Garcia,IT374998,8876897241,Cardiology,Apollo Hospital,"Unit 0891 Box 2779, DPO AA 12030",michael61@example.net,(471)310-0759,100,,Pending
16,Dr. Frederick Atkinson,RH933549,7560500743,Radiology,Sunrise Medical Center,"4601 Kevin Viaduct, Kirktown, MP 83911",elizabethclark@example.org,(926)698-0396x36959,100,,Pending
17,Dr. Gordon Novak,XK688007,7658319621,Radiology,LifeCare Clinic,"505 Peter Plaza Apt. 698, Elizabethstad, ME 97248",lruiz@example.net,563.952.5071x171,100,,Pending
18,Dr. Patricia Scott,MS625055,8775416755,Psychiatry,LifeCare Clinic,"9486 Kristi Plaza, Port Kathleenfurt, NY 63070",stanleyedwards@example.org,256.273.8512x1324,100,,Pending
19,Dr. Johnathan Torres,WF573726,5577858925,Dermatology,LifeCare Clinic,"101 Johnston Creek Apt. 420, Jasonport, AS 65536",yolandadavis@example.com,+1-985-591-1869,100,,Pending
20,Dr. Daniel Rodriguez,YT415339,7733562177,Cardiology,Global Health Clinic,"418 Stevenson Brook Suite 046, Lake Sandraview, OK 99907",cameron64@example.net,001-502-533-2681x3696,100,,Pending
21,Dr. Stacy Moore,QA571917,2431682246,Pediatrics,City Hospital,"1426 Long Via Suite 827, Port Allisonville, MS 99674",norrisdebbie@example.net,709-275-5082x75087,100,,Pending
22,Dr. Nicole Anderson,UE676914,3711139674,General Surgery,City Hospital,"05740 Alexander Well Apt. 817, North Dan, ND 22487",milesjennifer@example.org,4004967801,100,,Pending
23,Dr. Cameron Wilson,WC610451,3400366391,Dermatology,Fortis Care,"168 Meredith Isle Suite 766, Lake Stevenshire, LA 32964",gstevenson@example.org,(953)398-2352x4885,100,,Pending
24,Dr. Erin Martin,JF745096,5540269646,Neurology,Sunrise Medical Center,"8727 Garcia Parks, Port Jimmy, PA 83177",smithluke@example.org,+1-625-209-0888x12134,100,,Pending
25,Dr. Alexander Tran,XC277199,4808916616,Radiology,Apollo Hospital,"2208 Sabrina Ville, Lake Jill, OH 41667",dsmith@example.com,355.997.1829,100,,Pending
26,Dr. Michael Bell,IZ490626,8051465278,Psychiatry,Sunrise Medical Center,"Unit 2900 Box 5204, DPO AP 80886",melissadiaz@example.com,887-370-8751,100,,Pending
27,Dr. Alyssa Bates,WF425000,4981695320,Orthopedics,Apollo Hospital,"080 Green Village, Lake Jennifer, VT 72184",maydustin@example.org,+1-948-650-4350x44771,100,,Pending
28,Dr. Destiny Garcia,LS950261,7259739515,Psychiatry,Global Health Clinic,"PSC 3362, Box 5797, APO AA 07119",harveyjeremy@example.com,477-208-8862,100,,Pending
29,Dr. Albert Ramos,QW560477,7826204364,Pediatrics,City Hospital,"170 Hardy Common, South Alyssa, NY 77979",qholden@example.org,(894)569-3813x91868,100,,Pending
30,Dr. Chris Bradley,MB432551,8459529273,Orthopedics,Apollo Hospital,"06701 Jackson Underpass Apt. 826, Nathanbury, AL 27071",shelby55@example.net,530-879-8740x6061,100,,Pending
31,Dr. Thomas Hull,XI991233,6947321669,Orthopedics,Sunrise Medical Center,"666 Jerry Shoals, Port Laurie, WY 71728",newtonlarry@example.org,690.518.5639,100,,Pending
32,Dr. Sabrina Spencer,BN337922,5552818515,Psychiatry,Global Health Clinic,"9913 Harris Grove, Thomasstad, ID 71125",ryangordon@example.net,001-261-645-0888,100,,Pending
33,Dr. Amanda Bell,WV540071,8598673987,Dermatology,Fortis Care,"49681 Obrien Terrace, Port Gregoryfurt, MN 93804",jhampton@example.org,371-913-9383x592,100,,Pending
34,Dr. Adam Powell,QK163274,6140068445,Cardiology,Sunrise Medical Center,"4482 Darlene Valley Apt. 606, Davidside, RI 59475",youngjesse@example.com,9256734628,100,,Pending
35,Dr. Amber Medina,BP980930,7303098749,Psychiatry,Global Health Clinic,"3078 Alexander Falls Suite 292, Hudsontown, ND 62313",wilsonjames@example.org,(954)912-9451x5648,100,,Pending
36,Dr. Ryan Waller,NR735688,1058583369,Dermatology,Fortis Care,"6813 Tucker Knoll Apt. 877, Jaredside, UT 91562",tyler39@example.org,4076984019,100,,Pending
37,Dr. Kimberly Wilcox,OI180515,6882915522,General Surgery,City Hospital,"868 Marshall Path Apt. 166, Anitatown, DC 43037",brandonmartin@example.org,+1-303-912-6343,100,,Pending
38,Dr. Tyler Romero,LD932171,2330834131,Radiology,Fortis Care,"66003 Theodore Wells, South Erin, TN 10189",williamskaylee@example.net,834-889-4957x72547,100,,Pending
