Id,Full_name,Phone,Practice_address,Specialty,Medical_License_Number,Npi_Number,Insurance_Network,Affiliation,Website,Email,Scanned_Documents
1,Dr. Molly Christensen,944.343.8755x794,"8974 Reese Roads, North Coreyfurt, MI 63460",Neurology,IZ305131,8286859759,UnitedHealth,Sunrise Medical Center,http://www.peterson.com/,nbarry@example.org,credentials_1.pdf
2,Dr. Jeffrey Collins,620.234.1957,"96111 Michael Drive, Penachester, OH 53136",Dermatology,JE548931,2515862631,Cigna,Apollo Hospital,https://www.morgan-hamilton.com/,lucas14@example.com,credentials_2.pdf
3,Dr. Rebecca Jenkins,433-551-6484x273,"3883 Walker Stream, Lake Donald, VI 34837",Cardiology,DX749969,7561565903,None,Fortis Care,http://mcdonald-white.biz/,rnorton@example.net,credentials_3.pdf
4,Dr. Kevin Duran,972-623-9080,"17770 Barbara Manor, New Patriciaview, AL 92495",Psychiatry,NT143322,6987034909,None,City Hospital,http://valdez.com/,jillianwilliams@example.com,credentials_4.pdf
5,Dr. David Gibbs,001-590-354-5099,"Unit 8606 Box 9656, DPO AA 60149",General Surgery,TS833603,3817264305,None,Global Health Clinic,https://brown.com/,chadcoleman@example.net,credentials_5.pdf
6,Dr. Holly Bradley,770.530.1270x30453,"826 Thomas Isle Apt. 121, Lake Priscillashire, AL 24095",Orthopedics,HG744762,7054651817,BlueCross,LifeCare Clinic,http://www.mcintosh-mcgee.net/,haneyderek@example.net,credentials_6.pdf
7,Dr. Elizabeth Johnson,001-329-695-0270,"27113 Jessica Ports, Heathhaven, NH 49959",Pediatrics,DA862231,6425936734,Aetna,Global Health Clinic,http://www.robinson-ramirez.com/,teresavelasquez@example.org,credentials_7.pdf
8,Dr. Sheila Hernandez,848-415-4716x858,"879 Bryan Ford, Ashleyville, ID 31228",Cardiology,RL673275,8220964128,UnitedHealth,Fortis Care,http://allen.com/,casey00@example.com,credentials_8.pdf
9,Dr. Jacqueline Glover,+1-686-273-2411x09669,"86222 Farrell Landing Apt. 700, Taylorchester, MT 52917",Radiology,NR588681,4825247245,Cigna,Apollo Hospital,http://kirby-williams.com/,sloanchristina@example.com,credentials_9.pdf
10,Dr. Jeffrey Scott,+1-581-269-4053x8310,"1255 Sharon Crest, Port Courtneybury, AK 06589",Orthopedics,ZL110060,6986807597,BlueCross,City Hospital,http://www.little-freeman.com/,jacksonbernard@example.org,credentials_10.pdf
11,Dr. James Brown,340-446-5989,"8513 Mark Mission Suite 523, Jeffersonport, DC 69749",Orthopedics,BB669856,4670981233,Aetna,Sunrise Medical Center,https://bowers-stevenson.com/,william19@example.org,credentials_11.pdf
12,Dr. Melanie Figueroa,001-947-589-8984x2547,"962 Cole Junction Apt. 306, Peterside, AZ 50349",Psychiatry,BY804973,4510383945,None,Sunrise Medical Center,http://www.lopez.com/,alicia22@example.com,credentials_12.pdf
13,Dr. David Adams,418.518.6395x73949,"4589 Steve Canyon Apt. 191, Donaldborough, ME 69226",Cardiology,ZS916173,1870778404,BlueCross,City Hospital,https://gray-vasquez.net/,chadgonzales@example.com,credentials_13.pdf
14,Dr. Rebekah Marks,+1-365-500-1593x12740,"428 Mccall Meadow, New David, OR 31666",General Surgery,ZK948421,7975578942,Cigna,LifeCare Clinic,https://www.wolfe-jones.com/,nsmith@example.net,credentials_14.pdf
15,Dr. Natasha Garcia,(471)310-0759,"Unit 0891 Box 2779, DPO AA 12030",Cardiology,IT374998,8876897241,Cigna,Apollo Hospital,https://harvey.com/,michael61@example.net,credentials_15.pdf
16,Dr. Frederick Atkinson,(926)698-0396x36959,"4601 Kevin Viaduct, Kirktown, MP 83911",Radiology,RH933549,7560500743,BlueCross,Sunrise Medical Center,http://cunningham.org/,elizabethclark@example.org,credentials_16.pdf
17,Dr. Gordon Novak,563.952.5071x171,"505 Peter Plaza Apt. 698, Elizabethstad, ME 97248",Radiology,XK688007,7658319621,Aetna,LifeCare Clinic,https://www.boyd.info/,lruiz@example.net,credentials_17.pdf
18,Dr. Patricia Scott,256.273.8512x1324,"9486 Kristi Plaza, Port Kathleenfurt, NY 63070",Psychiatry,MS625055,8775416755,None,LifeCare Clinic,http://ferguson-rodriguez.com/,stanleyedwards@example.org,credentials_18.pdf
19,Dr. Johnathan Torres,+1-985-591-1869,"101 Johnston Creek Apt. 420, Jasonport, AS 65536",Dermatology,WF573726,5577858925,Cigna,LifeCare Clinic,https://www.schroeder.com/,yolandadavis@example.com,credentials_19.pdf
20,Dr. Daniel Rodriguez,001-502-533-2681x3696,"418 Stevenson Brook Suite 046, Lake Sandraview, OK 99907",Cardiology,YT415339,7733562177,None,Global Health Clinic,https://www.morrison.org/,cameron64@example.net,credentials_20.pdf
21,Dr. Stacy Moore,709-275-5082x75087,"1426 Long Via Suite 827, Port Allisonville, MS 99674",Pediatrics,QA571917,2431682246,None,City Hospital,https://www.hernandez.net/,norrisdebbie@example.net,credentials_21.pdf
22,Dr. Nicole Anderson,4004967801,"05740 Alexander Well Apt. 817, North Dan, ND 22487",General Surgery,UE676914,3711139674,Cigna,City Hospital,http://www.monroe.com/,milesjennifer@example.org,credentials_22.pdf
23,Dr. Cameron Wilson,(953)398-2352x4885,"168 Meredith Isle Suite 766, Lake Stevenshire, LA 32964",Dermatology,WC610451,3400366391,None,Fortis Care,https://walker.com/,gstevenson@example.org,credentials_23.pdf
24,Dr. Erin Martin,+1-625-209-0888x12134,"8727 Garcia Parks, Port Jimmy, PA 83177",Neurology,JF745096,5540269646,Aetna,Sunrise Medical Center,https://morris-graham.net/,smithluke@example.org,credentials_24.pdf
25,Dr. Alexander Tran,355.997.1829,"2208 Sabrina Ville, Lake Jill, OH 41667",Radiology,XC277199,4808916616,BlueCross,Apollo Hospital,https://www.brock-lee.com/,dsmith@example.com,credentials_25.pdf
26,Dr. Michael Bell,887-370-8751,"Unit 2900 Box 5204, DPO AP 80886",Psychiatry,IZ490626,8051465278,Cigna,Sunrise Medical Center,http://mason.net/,melissadiaz@example.com,credentials_26.pdf
27,Dr. Alyssa Bates,+1-948-650-4350x44771,"080 Green Village, Lake Jennifer, VT 72184",Orthopedics,WF425000,4981695320,Cigna,Apollo Hospital,http://davidson.com/,maydustin@example.org,credentials_27.pdf
28,Dr. Destiny Garcia,477-208-8862,"PSC 3362, Box 5797, APO AA 07119",Psychiatry,LS950261,7259739515,None,Global Health Clinic,http://www.jordan-smith.com/,harveyjeremy@example.com,credentials_28.pdf
